stage,epoch,task,train_loss,test_loss,train_accuracy,test_accuracy,validation_accuracy
04_mnist,0,MNIST,2.308100008787932,2.3080363746643067,0.07577777777777778,0.0786,0.07933333333333334
04_mnist,1,MNIST,0.12057791415629564,0.11173974179029465,0.9622222222222222,0.966,0.9575
04_mnist,2,MNIST,0.07332497893660157,0.06687305720895528,0.9772592592592593,0.9788,0.975
04_mnist,3,MNIST,0.04737925857857422,0.045595959238894285,0.9856481481481482,0.985,0.9813333333333333
04_mnist,4,MNIST,0.03503656503171833,0.037187023920752106,0.9896296296296296,0.9867,0.9861666666666666
04_mnist,5,MNIST,0.0327269917373304,0.03538416895065457,0.9901111111111112,0.9886,0.986
06_frozen,0,FashionMNIST,2.4683193019584375,2.4651487800598146,0.057666666666666665,0.0589,0.0585
06_frozen,1,FashionMNIST,0.5010267034283391,0.5279582525253296,0.8250555555555555,0.816,0.8241666666666667
06_frozen,2,FashionMNIST,0.43266584471420005,0.4666049038887024,0.8466481481481481,0.8349,0.8493333333333334
06_frozen,3,FashionMNIST,0.3996625573458495,0.4388046322345734,0.8562222222222222,0.8424,0.8571666666666666
06_frozen,4,FashionMNIST,0.3789881829155816,0.4209444716453552,0.8632222222222222,0.8518,0.8638333333333333
06_frozen,5,FashionMNIST,0.37543259935908846,0.42199528374671935,0.8623888888888889,0.8476,0.8628333333333333
07_finetuned,5,MNIST,0.0327269917373304,0.03538416895065457,0.9901111111111112,0.9886,0.986
07_finetuned,5,FashionMNIST,0.37543259935908846,0.42199528374671935,0.8623888888888889,0.8476,0.8628333333333333
07_finetuned,6,MNIST,0.03681796506819902,0.038900738736614586,0.9891111111111112,0.988,0.985
07_finetuned,6,FashionMNIST,0.31858717320583485,0.3640067382335663,0.8839444444444444,0.8693,0.8816666666666667
07_finetuned,7,MNIST,0.05306234693085706,0.05539608041532337,0.9835555555555555,0.9823,0.9786666666666667
07_finetuned,7,FashionMNIST,0.30510594073931374,0.35699235377311705,0.8877037037037037,0.869,0.8795
07_finetuned,8,MNIST,0.0570227180785603,0.05897426462545991,0.9822037037037037,0.9822,0.9773333333333334
07_finetuned,8,FashionMNIST,0.2660422106054094,0.3254676830768585,0.9023333333333333,0.8834,0.8966666666666666
07_finetuned,9,MNIST,0.07681516060785011,0.07950429340600967,0.9757407407407407,0.9734,0.9686666666666667
07_finetuned,9,FashionMNIST,0.26399430199022644,0.32442107639312745,0.9030370370370371,0.8845,0.8985
07_finetuned,10,MNIST,0.06953963639118053,0.07082031331807374,0.9782222222222222,0.9769,0.9736666666666667
07_finetuned,10,FashionMNIST,0.23956217663817936,0.3041692092418671,0.9122222222222223,0.8907,0.9026666666666666
08_unfrozen,0,MNIST,0.0327269917373304,0.03538416895065457,0.9901111111111112,0.9886,0.986
08_unfrozen,0,FashionMNIST,2.4683193019584375,2.4651487800598146,0.057666666666666665,0.0589,0.0585
08_unfrozen,1,MNIST,0.463071278474949,0.47400462729930876,0.8803518518518518,0.8816,0.8708333333333333
08_unfrozen,1,FashionMNIST,0.41250948536837545,0.4437022008895874,0.8579074074074075,0.8465,0.857
08_unfrozen,2,MNIST,0.3286785705972601,0.342102579164505,0.9091481481481481,0.909,0.901
08_unfrozen,2,FashionMNIST,0.33799548347791036,0.37828802919387816,0.8778888888888889,0.8644,0.8745
08_unfrozen,3,MNIST,0.30276870483822294,0.3103809214353561,0.9140370370370371,0.9146,0.9071666666666667
08_unfrozen,3,FashionMNIST,0.29825696043614985,0.34422660212516787,0.8912777777777777,0.8757,0.8871666666666667
08_unfrozen,4,MNIST,0.3499783097902934,0.3607512832403183,0.9023518518518518,0.9021,0.8958333333333334
08_unfrozen,4,FashionMNIST,0.2706390233039856,0.3212522667884827,0.9026111111111111,0.8847,0.899
08_unfrozen,5,MNIST,0.3511266079302187,0.3545301723718643,0.9002962962962963,0.9022,0.8963333333333333
08_unfrozen,5,FashionMNIST,0.25212294213860126,0.3073206265449524,0.9081666666666667,0.8913,0.904
08_unfrozen,6,MNIST,0.35547098232198643,0.362205618429184,0.8981296296296296,0.8996,0.8933333333333333
08_unfrozen,6,FashionMNIST,0.24244057411617703,0.2985148191452026,0.9120555555555555,0.8946,0.904
08_unfrozen,7,MNIST,0.37177128304375545,0.3733784755945206,0.8973148148148148,0.897,0.89
08_unfrozen,7,FashionMNIST,0.22570059507864493,0.2903700389146805,0.9182592592592592,0.8989,0.9103333333333333
08_unfrozen,8,MNIST,0.4343573350729766,0.4367180515289307,0.8832407407407408,0.8839,0.8778333333333334
08_unfrozen,8,FashionMNIST,0.2139652596756264,0.28769043793678284,0.921074074074074,0.8983,0.9073333333333333
08_unfrozen,9,MNIST,0.47950120336038093,0.48000949087142947,0.8737037037037036,0.8756,0.8685
08_unfrozen,9,FashionMNIST,0.21299795597570914,0.28664507088661195,0.9214814814814815,0.8987,0.9091666666666667
08_unfrozen,10,MNIST,0.5147645951200415,0.5152878680229187,0.8634814814814815,0.8634,0.8585
08_unfrozen,10,FashionMNIST,0.19304276110507823,0.2720528411388397,0.9294074074074075,0.9021,0.9145
09_random,0,FashionMNIST,2.304544948719166,2.3046931121826173,0.10037037037037037,0.1,0.09666666666666666
09_random,1,FashionMNIST,0.621049528086627,0.6315517365455627,0.7728333333333334,0.7694,0.7761666666666667
09_random,2,FashionMNIST,0.5157201648288303,0.5340749475479126,0.8129259259259259,0.8024,0.8146666666666667
09_random,3,FashionMNIST,0.46051450460045423,0.48213885564804077,0.8334259259259259,0.8223,0.8346666666666667
09_random,4,FashionMNIST,0.42579260136463026,0.45311191654205324,0.8472777777777778,0.8387,0.8436666666666667
09_random,5,FashionMNIST,0.388973450978597,0.4179987061500549,0.8612222222222222,0.8515,0.8585
09_random,6,FashionMNIST,0.3641143060790168,0.3953331738948822,0.8704074074074074,0.8586,0.8735
09_random,7,FashionMNIST,0.35800177590052285,0.39382641015052794,0.8701666666666666,0.857,0.8723333333333333
09_random,8,FashionMNIST,0.33662913484043544,0.3788447660446167,0.8799814814814815,0.8615,0.8793333333333333
09_random,9,FashionMNIST,0.3162149890528785,0.3570207767963409,0.8876666666666667,0.8704,0.8843333333333333
09_random,10,FashionMNIST,0.3136805032359229,0.36093350415229797,0.8867037037037037,0.8681,0.8866666666666667
