class_c,class_t,test_index,probability,predicted_class
0,0,6735,0.999962329864502,0
0,1,9880,0.5470911860466003,1
0,2,3132,0.9683465361595154,2
0,3,1111,0.9766172766685486,3
0,4,9251,0.7456127405166626,4
0,5,3466,0.7576761841773987,5
0,6,4193,0.9802112579345703,6
0,7,3441,0.047519344836473465,0
0,8,2599,0.9972023963928223,8
0,9,2897,0.7638257741928101,9
1,0,8610,0.3025669753551483,1
1,1,1474,1.0,1
1,2,9485,0.322332501411438,6
1,3,787,0.9879647493362427,3
1,4,7876,0.5635036826133728,4
1,5,2396,0.006041972432285547,1
1,6,8768,0.6192817091941833,6
1,7,5597,0.0003651459701359272,3
1,8,6331,0.9964642524719238,8
1,9,8156,0.0007634740904904902,8
2,0,732,0.9781568050384521,0
2,1,3880,0.938941240310669,1
2,2,87,0.9998169541358948,2
2,3,3457,0.969311535358429,3
2,4,3816,0.9440624117851257,4
2,5,2382,0.041087806224823,0
2,6,9574,0.9891692399978638,6
2,7,7073,0.0020256468560546637,8
2,8,9276,0.5194914937019348,8
2,9,9855,0.0007022427744232118,2
3,0,979,0.9874234795570374,0
3,1,6281,0.9450802803039551,1
3,2,2318,0.9986850619316101,2
3,3,1393,0.9999468326568604,3
3,4,5576,0.9009490013122559,4
3,5,2736,0.025888865813612938,9
3,6,607,0.9110498428344727,6
3,7,6676,0.018564796075224876,8
3,8,4394,0.9463282227516174,8
3,9,2736,0.8068097233772278,9
4,0,4251,0.21741101145744324,6
4,1,8621,0.8799974322319031,1
4,2,2776,0.9934706687927246,2
4,3,3084,0.9986473917961121,3
4,4,4933,0.9994687438011169,4
4,5,702,0.05507702752947807,8
4,6,2681,0.9735809564590454,6
4,7,2617,0.003270910819992423,6
4,8,3229,0.7783676981925964,8
4,9,3229,0.0009442809969186783,8
5,0,5561,0.07790786772966385,3
5,1,5561,0.0015014365781098604,3
5,2,5561,0.006463132333010435,3
5,3,5561,0.2991056442260742,3
5,4,5561,0.001017184928059578,3
5,5,294,1.0,5
5,6,5561,0.05045701190829277,3
5,7,1953,0.9996423721313477,7
5,8,6504,0.1083473488688469,5
5,9,5082,0.9933459758758545,9
6,0,4886,0.9944849610328674,0
6,1,7800,0.8539718389511108,1
6,2,3864,0.9940522313117981,2
6,3,5987,0.9804058074951172,3
6,4,1643,0.9023054838180542,4
6,5,1277,0.012919154949486256,6
6,6,8543,0.9997510313987732,6
6,7,4416,0.004868246149271727,6
6,8,4763,0.9702838063240051,8
6,9,9402,0.005067505873739719,6
7,0,7525,0.009889434091746807,7
7,1,8278,5.466126822284423e-05,5
7,2,8278,0.00160810851957649,5
7,3,3234,0.007902555167675018,7
7,4,8278,0.00043435662519186735,5
7,5,8714,0.9860072135925293,5
7,6,7525,0.002688562497496605,7
7,7,1820,0.999996542930603,7
7,8,8278,0.2907576262950897,5
7,9,2914,0.9992945194244385,9
8,0,3008,0.44141945242881775,3
8,1,2905,0.5271889567375183,1
8,2,5148,0.4205378592014313,2
8,3,2476,0.634128987789154,3
8,4,5470,0.3676275908946991,6
8,5,1300,0.7333035469055176,5
8,6,5470,0.5340230464935303,6
8,7,6565,0.997138261795044,7
8,8,69,1.0,8
8,9,1300,0.09706096351146698,5
9,0,5512,0.07369886338710785,6
9,1,4132,0.001368314609862864,9
9,2,5512,0.03770695999264717,6
9,3,9954,0.01188735757023096,9
9,4,5512,0.00023627738119103014,6
9,5,23,0.9977091550827026,5
9,6,5512,0.7669591307640076,6
9,7,5938,0.9774921536445618,7
9,8,5512,0.12108703702688217,6
9,9,9332,0.9999964237213135,9
